Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
Burundi,-3.3731,29.9189,0,0,2,183,889,3219,8597,12907,14681,18425,21166,25576,40139,56909,82913,110149,144431,163935,198978,329238,470231,661656
Cabo Verde,16.5388,-23.0418,0,0,49,1423,9336,23482,58038,98700,154755,259192,328072,389119,427495,443714,539805,652703,921277,1015865,1096955,1139795,1177178,1291866
Cambodia,11.55,104.9167,5,28,1225,3583,3804,3885,5473,8173,8525,9685,10080,12218,14127,16923,51767,217465,749880,1308041,2172024,2849881,3288487,3954315
Cameroon,3.8480000000000003,11.5021,0,0,1067,30497,109504,295083,477610,570225,627249,728798,763671,869389,927225,982348,1370398,2030780,2510145,2561474,2686064,2726420,2743948,3343873
Canada,53.9333,-116.5765,0,0,5662,76102,200503,225082,286502,378646,497356,771193,1408366,2878860,3808881,3879721,4637156,5422839,7132980,7378226,7686563,7990284,8835694,10689601
Canada,53.7267,-127.6476,4,120,9118,47020,74469,82436,99349,140512,232233,398636,788636,1498307,1999541,2224458,2967667,3718072,4574954,4687196,4902000,5197291,5668701,6722082
Canada,0.0,0.0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0.0,0.0,0,0,184,390,403,390,403,403,403,442,429,442,429,390,429,416,429,416,429,429,416,442
Canada,53.7609,-98.8139,0,0,600,7106,8950,9225,10903,22952,47871,120846,387274,739677,904109,926611,1089892,1158548,1499378,1742846,1882792,1918015,1906483,2114026
Canada,46.5653,-66.4619,0,0,473,3327,3756,4637,5198,5651,6045,9780,13393,19260,31189,41556,49547,56757,68531,73500,77428,84575,106566,192002
Canada,53.1355,-57.6604,0,0,863,7187,8066,7830,8148,8297,8408,9683,10261,12540,13092,21350,33363,33375,39710,43875,46862,48006,50861,64571
Canada,64.8255,-124.8457,0,0,6,139,155,150,155,155,155,231,437,706,919,1282,1551,1634,3753,4096,4224,8319,23712,55132
Canada,44.681999999999995,-63.7443,0,0,931,16997,31814,31806,33052,33335,33672,37278,38996,48522,51096,48084,55437,61800,150102,183967,193760,196229,201777,241284
Canada,70.2998,-83.1076,0,0,0,0,0,0,0,0,0,0,2425,8363,8978,9686,12716,13655,19983,20939,21681,21681,21124,22804
Canada,51.2538,-85.3232,8,93,12339,287743,734991,1016712,1212409,1322474,1494166,2280476,3320686,5273798,7856939,8757892,10878063,13368241,16996634,17529527,18330199,18642761,18729607,20492610
Canada,46.5107,-63.4168,0,0,99,747,837,810,1055,1258,1689,2133,2246,2963,3463,3475,4809,5362,6317,6582,6858,7218,8389,10515
Canada,52.9399,-73.5491,0,5,27346,521776,1310342,1614848,1772904,1889695,2093487,3183128,4200517,5987040,7956190,8314808,9894661,10695681,11992781,11957438,12418741,12638310,12825465,14258482
Canada,,,0,0,0,0,0,0,0,0,0,0,130,442,429,390,429,416,429,416,429,429,416,442
Canada,52.9399,-106.4509,0,0,1172,8983,17798,21023,29783,47071,54483,83040,187158,431757,662414,799888,1029016,1206532,1467260,1538443,1631210,1711653,1954488,2513531
Canada,64.2823,-135.0,0,0,23,259,341,330,379,459,465,599,1026,1965,2265,2135,2388,2462,2750,5535,16618,21624,23036,28913
Central African Republic,6.6111,20.9394,0,0,41,444,11339,70765,134487,144485,147881,165096,161566,167915,164133,149893,167161,185826,226502,227626,235772,334446,362466,389854
Chad,15.4542,18.7322,0,0,35,797,14051,25427,27639,29949,34358,46316,52986,63694,93669,110844,142909,150105,161577,158227,163728,164451,160630,172237
Chile,-35.6751,-71.543,0,12,18796,285413,1763115,6291295,9987599,11936049,13611874,16673964,17607360,19784751,22126834,23416366,30077038,35539321,42719019,47639053,52622915,53776387,52691515,56901123
China,31.8257,117.2264,904,22998,30690,29722,30721,29730,30721,30721,30721,33694,32727,33737,32782,29820,32802,31808,32972,32144,33264,33264,32256,34272
China,40.1824,116.4142,752,9557,14867,17696,18383,21811,28802,28977,28993,31908,31274,32734,33393,31376,34618,33778,34902,34276,35735,36549,35826,38682
China,30.0572,107.874,983,13877,17878,17370,17949,17422,18060,18073,18100,19952,19453,20060,19489,17730,19503,18957,19719,19136,19831,19899,19296,20515
China,26.0789,117.9874,523,7261,9509,10577,11048,10834,11281,11503,12191,14356,15405,17142,17481,16425,18362,18625,19964,20766,23379,25391,33419,44063
China,35.7518,104.2861,129,2264,3888,4165,4309,4442,5168,5221,5266,5817,5968,6188,6049,5610,6244,6176,6380,6217,6481,6567,6368,7834
China,23.3417,113.4244,1778,32558,43076,46777,49294,48619,51360,53105,55449,64013,64937,68829,68950,65133,74242,74026,79217,84674,92765,98353,100253,108976
China,23.8298,108.7881,432,5884,7839,7620,7874,7620,7890,7905,7992,8838,8625,8969,8767,8010,8811,8622,9072,8800,9129,9403,9414,10846
China,26.8154,106.8748,85,3258,4527,4392,4557,4410,4557,4557,4557,4998,4851,4998,4851,4410,4851,4704,4851,4704,4851,4851,4704,5117
China,19.1959,109.7453,280,3940,5208,5040,5225,5114,5301,5301,5301,5814,5643,5814,5643,5130,5643,5692,6204,6016,6207,6266,6080,6460
China,39.549,116.1306,273,6868,9872,9817,10168,10111,10819,10967,11315,12520,12309,12688,31649,39492,43461,42144,43461,42144,43461,43461,42144,44957
China,47.861999999999995,127.7615,229,10205,14953,22837,29286,28406,29357,29379,29388,32241,31317,32557,39803,48243,53130,51520,53158,51584,53196,53239,52357,58817
China,37.8957,114.9042,1275,30003,39472,38280,39556,38280,39556,39556,39618,43592,42490,44070,42968,39109,43178,41968,43333,42120,43760,48812,49172,52704
China,22.3,114.2,67,1448,8018,29443,32692,34000,58089,134221,154162,177836,186861,266752,318896,323386,372414,372611,390051,380340,394713,397524,389078,417952
China,30.9756,112.2707,23045,1250238,2098222,2038637,2112115,2044050,2112185,2112303,2112309,2316734,2248845,2317065,2248931,2044514,2248993,2180965,2249230,2181113,2250170,2252839,2185413,2322298
China,27.6104,111.7088,1246,24602,31558,30569,31589,30570,31589,31589,31589,34651,33660,34690,33831,31020,34279,33401,34573,33677,35242,38461,37809,40561
China,44.0935,113.9448,97,1698,2451,5050,6636,7110,7697,8038,8130,9373,10238,11769,12075,10998,12208,12096,12667,12538,13154,13549,13305,16009
